programme,title,ministry,description,total_project_cost,total_foreign_funding,total_government_funding,start_date,end_date,foreign_actual_pre_2024,foreign_actual_2024,foreign_actual_2025,foreing_actual_2026,foreign_donor,region,gov_actual_pre_2024,gov_actual_2024,gov_actual_2025,gov_actual_2026,budget_2026
011 - administration,office and residence of the president,office of the president,"the project entails:
1. payment of retention.
2. provision for upgrading of facilities.",168000000,0,168000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,98000000,70000000,70000000
011 - administration,minor works,office of the president,"the project entails provision for developmental, humanitarian and other activities.",300000000,0,300000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,300000000,300000000
011 - administration,men on mission programme,office of the president,the project entails provision for men on mission projects and programmes.,900000000,0,900000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,900000000,900000000
011 - administration,land transport,office of the president,the project entails provision for vehicles.,100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,100000000,100000000
011 - administration,furniture and equipment,office of the president,the project entails provision for furniture and equipment.,50000000,0,50000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,50000000,50000000
012 - national policy development and presidential advisory services,furniture and equipment,office of the president,the project entails provision for furniture and equipment.,8000000,0,8000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,8000000,8000000
012 - national policy development and presidential advisory services,lands and surveys,office of the president,"the project entails provision for surveys, furniture and equipment.",100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,100000000,100000000
012 - national policy development and presidential advisory services,institute of applied science and technology,office of the president,the project entails provision for equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
013 - defence and national security,buildings,office of the president,the project entails payment of retention.,62926000,0,62926000,01-Jan-24,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,46500000,13806000,2620000,2620000
013 - defence and national security,land transport,office of the president,the project includes provision for all terrain vehicles (atvs) and motorcycles.,30000000,0,30000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,30000000,30000000
013 - defence and national security,furniture and equipment,office of the president,the project entails provision for furniture and equipment.,200000000,0,200000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,200000000,200000000
014 - public policy and planning,guyana office for investment,office of the president,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
014 - public policy and planning,guyana technical training college,office of the president,"the project entails provision for tools, furniture and equipment.",100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,6 east berbice/corentyne,0,0,0,100000000,100000000
015 - environmental management and compliance,furniture and equipment,office of the president,the project entails provision for furniture and equipment.,2000000,0,2000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2000000,2000000
015 - environmental management and compliance,environmental protection agency,office of the president,"the project entails provision for upgrading of facilities, furniture and equipment.",35000000,0,35000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,35000000,35000000
015 - environmental management and compliance,national parks commission,office of the president,"the project entails provision for upgrading of facilities, furniture and equipment.",3300000000,0,3300000000,01-Jan-25,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,2800000000,500000000,500000000
015 - environmental management and compliance,protected areas commission,office of the president,"the project entails provision for boats, outboard engines, furniture and equipment.",10500000,0,10500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,10500000,10500000
015 - environmental management and compliance,wildlife management authority,office of the president,the project entails provision for furniture and equipment.,3500000,0,3500000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,3500000,3500000
016 - police complaints authority,police complaints authority,office of the president,the project entails provision for equipment.,2000000,0,2000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,2000000,2000000
021 - prime minister's secretariat,buildings,office of the prime minister,the project entails provision for upgrading of facility.,7080000,0,7080000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,7080000,7080000
021 - prime minister's secretariat,minor works,office of the prime minister,"the project entails provision for developmental, humanitarian and other activities.",10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,10000000,10000000
021 - prime minister's secretariat,furniture and equipment,office of the prime minister,the project entails provision for furniture and equipment.,10000000,0,10000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10000000,10000000
"022 - disaster preparedness, response and management",civil defence commission,office of the prime minister,"the project includes provision for upgrading of facilities, furniture and equipment.",70000000,0,70000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,70000000,70000000
023 - energy,gas to power project,office of the prime minister,"the project includes provision for:
1. construction of natural gas-fired power plant and natural gas liquids (ngl) plant - wales.
2. upgrading of transmission network and scada.
3. construction of control centre.
4. project management consultancy and supervision.",276822767000,8101268000,268721499000,01-Jan-22,31-Dec-27,0,0,0,8101268000,usa,1-10 national,72960756000,105301500000,79933407000,2615464000,10716732000
023 - energy,solar systems programme,office of the prime minister,the project entails provision for solar systems for cheddi jagan international airport and government buildings.,8750625000,521250000,150000000,01-Jan-24,31-Dec-31,0,0,0,495000000,india,1 - 10 national,0,0,150000000,0,1188600000
023 - energy,solar systems programme,office of the prime minister,the project entails provision for solar systems for cheddi jagan international airport and government buildings.,0,8079375000,0,01-Jan-24,31-Dec-31,0,31633000,59906000,693600000,ida,1 - 10 national,0,0,0,0,0
023 - energy,guyana energy agency,office of the prime minister,the project includes provision for renewable energy interventions.,1706301000,0,1706301000,01-Jan-25,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,824926000,881375000,881375000
024 - telecommunications and innovation,national data management authority,office of the prime minister,"the project entails provision for:
1. expansion of safe country programme. 
2. national identification enrolment and issuance system.
3. e-gate and border control systems.
4. furniture and equipment.",39633547000,0,39633547000,01-Jan-23,31-Dec-29,0,0,0,0,nil,1 - 10 national,6611590000,4363130000,9925000000,13650000000,13650000000
024 - telecommunications and innovation,furniture and equipment,office of the prime minister,the project entails provision for furniture and equipment.,22600000,0,22600000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,22600000,22600000
025 - government information and communication services,furniture and equipment,office of the prime minister,the project entails provision for furniture and equipment.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,20000000,20000000
025 - government information and communication services,national communication network,office of the prime minister,the project includes provision for upgrading and expansion of network.,75000000,0,75000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,75000000,75000000
031 - policy and administration,basic needs trust fund (bntf),ministry of finance,"the project entails provision for cycle 11 interventions including:
1. construction of buildings - special education needs.
2. construction of early childhood development centres.
3. skills training and institutional strengthening.",898787000,625500000,273287000,01-Jan-26,31-Dec-28,0,0,0,220000000,cdb,1 - 10 national,0,0,0,35000000,255000000
031 - policy and administration,land transport,ministry of finance,the project entails provision for vehicles.,400000000,0,400000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,400000000,400000000
031 - policy and administration,furniture and equipment,ministry of finance,the project entails provision for furniture and equipment.,22230000,0,22230000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,22230000,22230000
031 - policy and administration,financial intelligence unit,ministry of finance,the project entails provision for furniture and equipment.,10550000,0,10550000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,10550000,10550000
031 - policy and administration,statistical bureau,ministry of finance,the project entails provision for furniture and equipment.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,20000000,20000000
031 - policy and administration,low carbon development programme,ministry of finance,"the project includes provision for:
1. amerindian land titling.
2. information and communication technology access and e-services for hinterland, poor and remote communities.
3. sustainable land management and development.
4. renewable energy interventions - berbice, essequibo and linden.
5. relief structures in regions 3, 5 and 6.
6. coastal adaptation and resilience project.
7. other projects and programmes.",112274755000,6677746000,105597009000,01-Jan-10,31-Dec-27,677746000,0,0,0,norway,1 - 10 national,7402312000,17045003000,21941263000,57438431000,57438431000
031 - policy and administration,poverty programme,ministry of finance,the project entails provision for special support to the most vulnerable groups through community development programmes and projects.,100000000,0,100000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,1 - 10 national,0,0,0,100000000,100000000
031 - policy and administration,guyana revenue authority,ministry of finance,"the project entails:
1. payment of retention. 
2. provision for buildings, scanners, software, furniture and equipment.",17663954000,0,17663954000,01-Jan-21,31-Dec-27,0,0,0,0,nil,1 - 10 national,4552844000,2500000000,4606928000,4000000000,4000000000
032 - public financial management,furniture and equipment,ministry of finance,the project entails provision for furniture and equipment.,70000000,0,70000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,70000000,70000000
121 - development of foreign policy,buildings,ministry of foreign affairs and international cooperation,the project includes provision for foreign service institute.,591522000,0,591522000,01-Jan-24,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,92500000,360684000,138338000,138338000
121 - development of foreign policy,furniture and equipment,ministry of foreign affairs and international cooperation,the project entails provision for furniture and equipment.,35000000,0,35000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,35000000,35000000
122 - foreign policy promotion,land transport,ministry of foreign affairs and international cooperation,the project entails provision for vehicles.,54000000,0,54000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,54000000,54000000
122 - foreign policy promotion,furniture and equipment,ministry of foreign affairs and international cooperation,the project entails provision for furniture and equipment for overseas missions.,20000000,0,20000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,20000000,20000000
123 - development of foreign trade policy,furniture and equipment,ministry of foreign affairs and international cooperation,the project entails provision for equipment.,300000,0,300000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,300000,300000
061 - policy development and administration,furniture and equipment,ministry of parliamentary affairs and governance,the project entails provision for furniture and equipment.,3900000,0,3900000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,3900000,3900000
062 - parliamentary affairs,furniture and equipment,ministry of parliamentary affairs and governance,the project entails provision for equipment.,60000,0,60000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,60000,60000
063 - governance,integrity commission,ministry of parliamentary affairs and governance,the project entails provision for furniture and equipment.,5000000,0,5000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,5000000,5000000
063 - governance,furniture and equipment,ministry of parliamentary affairs and governance,the project entails provision for furniture and equipment.,430000,0,430000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,430000,430000
071 - national assembly,constitutional agencies,parliament office,"the project entails provision for building, furniture and equipment.",55000000,0,55000000,01-Jan-26,31-Dec-26,0,0,0,0,nil,4 demerara/mahaica,0,0,0,55000000,55000000
