agency,programme,indicator,2025,target_2026,agency_id,ministry,type,sector,agency_type
AGENCY 01 - OFFICE OF THE PRESIDENT,011 - administration,percentage of budgetary allocation expended,95%,95%,agency 01,office of the president,output,efficiency,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,011 - administration,number of security protocol training conducted,7,10,agency 01,office of the president,output,national_security,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,011 - administration,publications of acts & printed official gazettes,176,200,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,012 - national policy development and presidential advisory services,number of presidential briefings held,21,30,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,012 - national policy development and presidential advisory services,number of petition matters addressed,33,60,agency 01,office of the president,output,governance,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,012 - national policy development and presidential advisory services,number of new technologies developed/adapted technologies introduced to guyana,1,1,agency 01,office of the president,output,innovation,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,012 - national policy development and presidential advisory services,number of commercialized technologies,0,2,agency 01,office of the president,output,economic development,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,012 - national policy development and presidential advisory services,number of commercialized technologies operated by the institute,2,3,agency 01,office of the president,output,economic development,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,012 - national policy development and presidential advisory services,number of training and capacity building activities undertaken by the institute,4,5,agency 01,office of the president,output,efficiency,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,013 - defence and national security,number of foreign threats averted,15,18,agency 01,office of the president,output,national_security,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,013 - defence and national security,number of domestic threats averted,18,16,agency 01,office of the president,output,national_security,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,013 - defence and national security,number of disciplined forces officers trained,106,100,agency 01,office of the president,output,national_security,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,013 - defence and national security,number of security matters addressed,60,75,agency 01,office of the president,output,national_security,ministry
AGENCY 01 - OFFICE OF THE PRESIDENT,013 - defence and national security,number of joint services exercises executed by the disciplined forces,8,15,agency 01,office of the president,output,national_security,ministry
